Year,CalendarYear,Month,EcoregionName,MinTemp,MaxTemp,Temp,Precip,WindDirection,WindSpeed,NDeposition,CO2,MinRH,MaxRH,RH,SpecificHumidity,PET,PAR,Ozone,ShortWaveRadiation,DuffMoistureCode,DroughtCode,BuildUpIndex,FineFuelMoistureCode,FireWeatherindex,VPD,GDD,SPEI,
182, -1, 9, eco2, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
182, -1, 10, eco2, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
182, -1, 11, eco2, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
183, -1, 0, eco1, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
183, -1, 1, eco1, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
183, -1, 2, eco1, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
183, -1, 3, eco1, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
183, -1, 4, eco1, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
183, -1, 5, eco1, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
183, -1, 6, eco1, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
183, -1, 7, eco1, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
183, -1, 8, eco1, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
183, -1, 9, eco1, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
183, -1, 10, eco1, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
183, -1, 11, eco1, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
183, -1, 0, eco2, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
183, -1, 1, eco2, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
183, -1, 2, eco2, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
183, -1, 3, eco2, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
183, -1, 4, eco2, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
183, -1, 5, eco2, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
183, -1, 6, eco2, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
183, -1, 7, eco2, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
183, -1, 8, eco2, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
183, -1, 9, eco2, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
183, -1, 10, eco2, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
183, -1, 11, eco2, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
184, -1, 0, eco1, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
184, -1, 1, eco1, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
184, -1, 2, eco1, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
184, -1, 3, eco1, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
184, -1, 4, eco1, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
184, -1, 5, eco1, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
184, -1, 6, eco1, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
184, -1, 7, eco1, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
184, -1, 8, eco1, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
184, -1, 9, eco1, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
184, -1, 10, eco1, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
184, -1, 11, eco1, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
184, -1, 0, eco2, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
184, -1, 1, eco2, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
184, -1, 2, eco2, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
184, -1, 3, eco2, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
184, -1, 4, eco2, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
184, -1, 5, eco2, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
184, -1, 6, eco2, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
184, -1, 7, eco2, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
184, -1, 8, eco2, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
184, -1, 9, eco2, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
184, -1, 10, eco2, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
184, -1, 11, eco2, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
185, -1, 0, eco1, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
185, -1, 1, eco1, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
185, -1, 2, eco1, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
185, -1, 3, eco1, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
185, -1, 4, eco1, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
185, -1, 5, eco1, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
185, -1, 6, eco1, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
185, -1, 7, eco1, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
185, -1, 8, eco1, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
185, -1, 9, eco1, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
185, -1, 10, eco1, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
185, -1, 11, eco1, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
185, -1, 0, eco2, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
185, -1, 1, eco2, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
185, -1, 2, eco2, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
185, -1, 3, eco2, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
185, -1, 4, eco2, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
185, -1, 5, eco2, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
185, -1, 6, eco2, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
185, -1, 7, eco2, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
185, -1, 8, eco2, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
185, -1, 9, eco2, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
185, -1, 10, eco2, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
185, -1, 11, eco2, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
186, -1, 0, eco1, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
186, -1, 1, eco1, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
186, -1, 2, eco1, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
186, -1, 3, eco1, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
186, -1, 4, eco1, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
186, -1, 5, eco1, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
186, -1, 6, eco1, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
186, -1, 7, eco1, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
186, -1, 8, eco1, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
186, -1, 9, eco1, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
186, -1, 10, eco1, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
186, -1, 11, eco1, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
186, -1, 0, eco2, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
186, -1, 1, eco2, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
186, -1, 2, eco2, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
186, -1, 3, eco2, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
186, -1, 4, eco2, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
186, -1, 5, eco2, 18.48, 32.99, 25.74, 109.4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.512727, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.18, 771, 0.03, 
186, -1, 6, eco2, 21.41, 35.77, 28.59, 108.96, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 19.782191, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.36, 885, 0, 
186, -1, 7, eco2, 20.24, 34.29, 27.27, 98.69, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 16.870724, NaN, NaN, NaN, 0, 0, 0, 0, 0, 1.25, 844, 0.05, 
186, -1, 8, eco2, 15.63, 28.86, 22.24, 89.13, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 10.438478, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.91, 666, 0.01, 
186, -1, 9, eco2, 9.93, 22.02, 15.98, 64.58, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.533411, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.6, 494, -0.05, 
186, -1, 10, eco2, 2.01, 11.79, 6.9, 43.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.264802, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.29, 206, 0, 
186, -1, 11, eco2, -6.92, 4.14, -1.39, 31.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.066918, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.2, 22, 0.01, 
187, -1, 0, eco1, -11.49, 1.62, -4.93, 29.6, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.00535, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.18, 2, 0.03, 
187, -1, 1, eco1, -9.36, 4.89, -2.23, 25.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.059014, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.23, 15, -0.02, 
187, -1, 2, eco1, -1.82, 11.72, 4.95, 37.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.062007, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.35, 154, 0.04, 
187, -1, 3, eco1, 6.93, 20.73, 13.83, 57.43, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 5.274591, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.59, 414, -0.03, 
187, -1, 4, eco1, 12.99, 28.11, 20.55, 83.72, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 11.343004, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0.93, 636, -0.03, 
